title,datestamp,content_html,title_welsh,datestamp_welsh,content_html_welsh
‘COBRA Cymru’,2020-03-10T00:00:00Z,"<p>The First Minister confirms that a core ministerial group has been established and is meeting weekly, “to make sure that we are in a position to respond urgently and immediately where such a response is necessary”. The Health and Social Services Minister also highlights that NHS Wales’ Chief Executive is establishing an ‘NHS Wales and social services planning and response team’, which will “provide ongoing support, co-ordination and integration of the health and social services response”.</p>",‘COBRA Cymru’,2020-03-10T00:00:00Z,"<p>Mae’r Prif Weinidog <a href=""https://record.assembly.wales/Plenary/6262#A56984"">yn cadarnhau</a> bod grŵp gweinidogol craidd wedi cael ei sefydlu a’i fod yn cyfarfod yn wythnosol, “i wneud yn siŵr ein bod ni mewn sefyllfa i ymateb ar frys ac ar unwaith pan fo angen ymateb o’r fath”. Hefyd, mae’r Gweinidog Iechyd a Gwasanaethau Cymdeithasol <a href=""https://record.assembly.wales/Plenary/6262#A57089"">yn tynnu sylw at y ffaith</a> bod Prif Weithredwr GIG Cymru yn sefydlu ‘tîm cynllunio ac ymateb o blith GIG Cymru a’r gwasanaethau cymdeithasol’, a fydd yn “rhoi cymorth parhaus, yn cydgysylltu ac yn integreiddio’r ymateb o ran y gwasanaethau iechyd a chymdeithasol”.</p>"
Containment phase,2020-03-09T00:00:00Z,"<p>The UK Prime Minister chairs an emergency COBRA meeting, attended by the First Ministers of Wales, Scotland and Northern Ireland. The Prime Minister announces that the UK remains in the first ‘containment’ phase of the outbreak, but that extensive preparations are being made for a move to the ‘delay’ phase.</p>",Cam cyfyngu,2020-03-09T00:00:00Z,"<p>Mae Prif Weinidog y DU yn cadeirio cyfarfod COBRA brys, gyda Phrif Weinidog Cymru, Prif Weinidog yr Alban a Phrif Weinidog Gogledd Iwerddon yn bresennol. Mae Prif Weinidog y DU <a href=""https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-9-march-2020"">yn cyhoeddi</a> bod y DU yn aros yng ngham cyntaf yr achosion, sef ‘cyfyngu’, ond bod paratoadau helaeth yn cael eu gwneud ar gyfer mynd i’r cam ‘oedi’.</p>"
Emergency legislation,2020-03-08T00:00:00Z,"<p>UK Government confirms that there will be an upcoming COVID-19 emergency bill, as part of the UK’s phased response to the virus. The legislation, which will apply across the four UK nations, provides Wales with emergency powers to respond “quickly and effectively” to the outbreak.</p>",Deddfwriaeth frys,2020-03-08T00:00:00Z,"<p>Mae Llywodraeth y DU yn cadarnhau y bydd Bil COVID-19 Brys ar ddod, fel rhan o ymateb fesul cam y DU i’r feirws. Mae’r ddeddfwriaeth, a fydd yn gymwys � i bedair gwlad y DU, <a href=""https://llyw.cymru/bil-yn-ymateb-i-geisiadau-gweinidogion-cymru-am-bwerau-brys-newydd-i-fynd-ir-afael-coronafeirws?_ga=2.122584843.1870559287.1584006097-824922972.1578910979"">yn darparu pwerau brys i Gymru</a> ymateb i’r achosion yn sydyn ac effeithiol.</p>"
Notifiable disease,2020-03-05T00:00:00Z,"<p>The Health Protection (Notification) (Wales) (Amendment) Regulations 2020 are made, making COVID-19 a notifiable disease in Wales. Equivalent regulations for England were made the same day. Scotland was the first UK country to make COVID-19 a notifiable disease (from 22 February 2020), followed by Northern Ireland (29 February 2020).</p>",Clefyd hysbysadwy,2020-03-05T00:00:00Z,"<p>Mae <a href=""http://www.senedd.cynulliad.cymru/mgIssueHistoryHome.aspx?IId=28024"">Rheoliadau Diogelu Iechyd (Hysbysu) (Cymru) (Diwygio) 2020</a> yn cael eu gwneud, gan wneud COVID-19 yn glefyd hysbysadwy yng Nghymru. Caiff <a href=""http://www.legislation.gov.uk/cy/uksi/2020/237/contents/made"">rheoliadau</a> cyfatebol i Loegr eu gwneud ar yr un dydd. <a href=""https://www.gov.scot/news/coronavirus-becomes-notifiable-disease-in-scotland/"">Yr Alban</a> oedd y wlad gyntaf yn y DU i wneud COVID-19 yn glefyd hysbysadwy (o 22 Chwefror 2020), ac yna <a href=""https://www.health-ni.gov.uk/sites/default/files/publications/health/HSS%28MD%29-9-2020.pdf"">Gogledd Iwerddon</a> (29 Chwefror 2019).</p>"
Health Committee briefed,2020-03-04T00:00:00Z,"<p>A special meeting of the Welsh Cabinet is held. The Health, Social Care and Sport Committee receive a technical briefing from the Director General of Health and Social Services and NHS Wales’ Chief Executive, the Chief Medical Officer, and Public Health Wales’ lead.</p>",Briffio’r Pwyllgor Iechyd,2020-03-04T00:00:00Z,"<p>Cynhelir cyfarfod arbennig o Gabinet Cymru. Mae’r Pwyllgor Iechyd, Gofal Cymdeithasol a Chwaraeon yn cael brîff technegol gan Gyfarwyddwr Cyffredinol Iechyd a Gwasanaethau Cymdeithasol a Phrif Weithredwr GIG Cymru, y Prif Swyddog Meddygol, ac arweinydd Iechyd Cyhoeddus Cymru.</p>"
UK action plan,2020-03-03T00:00:00Z,"<p>UK Government publishes its Coronavirus action plan: a guide to what you can expect. This joint action plan between the UK Government and devolved Governments in Wales, Scotland and Northern Ireland sets out a phased response to the virus. This includes the ‘contain phase’, the ‘delay phase’, a ‘research phase’ through to the ‘mitigate phase’. The action plan also said that government would “consider legislative options, if necessary, to help systems and services work more effectively in tackling the outbreak” and would ensure that “any necessary changes to legislation [were] taken forward as quickly as possible”.</p>",Cynllun gweithredu y DU,2020-03-03T00:00:00Z,"<p>Mae Llywodraeth y DU yn cyhoeddi ei chynllun gweithredu: <a href=""https://www.gov.uk/government/publications/coronavirus-action-plan/coronavirus-action-plan-a-guide-to-what-you-can-expect-across-the-uk"">Coronavirus action plan: a guide to what you can expect</a>. Mae’r cynllun gweithredu ar y cyd hwn rhwng Llywodraeth y DU a’r llywodraethau datganoledig yng Nghymru, yr Alban a Gogledd Iwerddon yn nodi ymateb fesul cam i’r feirws. Mae hyn yn cynnwys y ‘cam cyfyngu’, y ‘cam oedi’, ‘cam ymchwilio’ hyd at y ‘cam lliniaru’. Nodwyd yn y cynllun gweithredu y byddai’r llywodraeth yn ystyried opsiynau deddfwriaethol, pe bai angen, i helpu systemau a gwasanaethau weithio’n fwy effeithiol i drechu’r achosion o’r feirws, ac y byddai’n sicrhau bod unrhyw newidiadau angenrheidiol i ddeddfwriaeth yn cael eu gwneud cyn gynted â phosibl.</p>"
First case in Wales,2020-02-28T00:00:00Z,<p>Wales’ first coronavirus case confirmed. The patient had travelled back to Wales from northern Italy.</p>,Yr achos cyntaf yng Nghymru,NA,"<p><a href=""https://cyfryngau.gwasanaeth.llyw.cymru/newyddion/cadarnhaur-achos-cyntaf-or-coronafeirws-covid-19-yng-nghymru"">Cadarnheir</a> achos cyntaf Cymru o’r coronafeirws. Roedd y claf wedi teithio yn ôl i Gymru o ogledd yr Eidal.</p>"
Health protection regulations,2020-02-10T00:00:00Z,"<p>For England, regulations were made under the Public Health (Control of Disease) Act 1984, which provide health professionals with the powers to “keep individuals in isolation where [they] believe there is a reasonable risk an individual may have the virus”. In response, Wales’ Health Minister said he was considering whether similar legislation was needed in Wales. The Welsh Ministers do have powers to make equivalent regulations for Wales under the 1984 Act. These regulations were replaced by the Coronavirus Act 2020 when it received royal ascent on 25 March 2020.</p>",Rheoliadau diogelu iechyd,2020-02-10T00:00:00Z,"<p>Mae <a href=""http://www.legislation.gov.uk/cy/uksi/2020/129/made"">rheoliadau</a> yn cael eu gwneud ar gyfer Lloegr o dan <em>Ddeddf Iechyd y Cyhoedd (Rheoli Clefydau) 1984</em>, sy’n rhoi pwerau i weithwyr iechyd proffesiynol gadw unigolion ar wahân lle y credir bod risg resymol y gall y feirws fod ar unigolyn. Mewn ymateb, <a href=""https://llyw.cymru/datganiad-ysgrifenedig-coronafeirws-2019-ncov-1?_ga=2.88953627.1870559287.1584006097-824922972.1578910979"">dywedodd</a> Gweinidog Iechyd Cymru ei fod yn ystyried a oedd angen deddfwriaeth debyg yng Nghymru. Mae gan Weinidogion Cymru bwerau i wneud y rheoliadau cyfatebol ar gyfer Cymru o dan Ddeddf 1984.</p>"
No NHS charges for overseas visitors,2020-02-04T00:00:00Z,<p>The National Health Service (Charges to Overseas Visitors) (Amendment) (Wales) Regulations 2020 are laid. These exempt overseas visitors from being charged for the diagnosis and treatment of COVID-19 in Wales. Equivalent regulations are also in force in England (from 29 January 2020).</p>,Dim ffioedd GIG ar gyfer ymwelwyr tramor,NA,"<p>Gosodir <a href=""http://www.legislation.gov.uk/wsi/2020/113/contents/made"">Rheoliadau’r Gwasanaeth Iechyd Gwladol (Ffioedd Ymwelwyr Tramor) (Diwygio) (Cymru) 2020</a>. Mae’r rhain yn esemptio ymwelwyr tramor rhag gorfod talu am ddiagnosis ac am driniaeth ar gyfer COVID-19 yng Nghymru. Mae <a href=""http://www.legislation.gov.uk/uksi/2020/59/contents/made"">rheoliadau</a> cyfatebol hefyd mewn grym yn Lloegr (o 29 Ionawr 2020). Daeth y Ddeddf Coronafeirws 2020, a gafodd Gydsyniad Brenhinol ar 25 Mawrth 2020, i gymryd lle’r rheoliadau hyn</p>"
Wash your hands,2020-02-01T00:00:00Z,"<p>The UK Government launches a public information campaign to advise on how to slow the spread of COVID-19, similar to the ‘catch it, bin it, kill it’ campaign and emphasising the importance of hand-washing. The Welsh Government said it was working with Public Health Wales to support the campaign.</p>",Golchwch eich dwylo,2020-02-01T00:00:00Z,"<p>Ar 1 Chwefror, mae Llywodraeth y DU yn lansio <a href=""https://www.gov.uk/government/news/coronavirus-public-information-campaign-launched-across-the-uk"">ymgyrch gwybodaeth gyhoeddus</a> i gynghori ar sut i arafu lledaeniad COVID-19, sy’n debyg i’r ymgyrch ‘Ei Ddal. Ei Daflu. Ei Ddifa’. Mae’r ymgyrch yn pwysleisio pwysigrwydd golchi dwylo. <a href=""https://llyw.cymru/datganiad-gan-brif-swyddog-meddygol-cymru-ar-y-coronafeirws-2019-ncov-7-chwefror-2020?_ga=2.68094289.1520828418.1581410836-1364246629.1539078017"">Dywedodd</a> Llywodraeth Cymru ei bod yn gweithio gydag Iechyd Cyhoeddus Cymru i gefnogi’r ymgyrch.</p>"
UK risk level,2020-01-31T00:00:00Z,"<p>First UK coronavirus cases confirmed. The UK Chief Medical Officers advised an increase in the UK risk level from low to moderate. However, it was made clear that “this does not mean [they] think the risk to individuals in the UK has changed […] but that the UK should plan for all eventualities”.</p>",Lefel y risg yn y DU,2020-01-31T00:00:00Z,"<p>Cadarnheir achosion cyntaf o’r coronafeirws yn y DU. Mae <a href=""https://gov.wales/statement-chief-medical-officer-wales-about-coronavirus-2019-ncov"">Prif Swyddogion Meddygol y DU yn cynghori</a> codi lefel yn risg yn y DU o isel i gymedrol. Fodd bynnag, fe’i gwnaed yn glir nad yw hyn yn golygu y credir bod y risg i unigolion yn y Deyrnas Unedig wedi newid, ond dylai llywodraethau gynllunio ar gyfer pob posibilrwydd.</p>"
Public health emergency,2020-01-30T00:00:00Z,<p>World Health Organization declares that COVID-19 had met the criteria of being a Public Health Emergency of International Concern (PHEIC).</p>,Argyfwng iechyd cyhoeddus,2020-01-30T00:00:00Z,"<p>Mae <a href=""https://www.who.int/news-room/detail/30-01-2020-statement-on-the-second-meeting-of-the-international-health-regulations-(2005)-emergency-committee-regarding-the-outbreak-of-novel-coronavirus-(2019-ncov)"">Sefydliad Iechyd y Byd yn cyhoeddi bod COVID-19</a> wedi cwrdd â’r meini prawf ar gofer bod yn <a href=""https://www.who.int/news-room/q-a-detail/what-are-the-international-health-regulations-and-emergency-committees"">Argyfwng Iechyd Cyhoeddus o Bryder Rhyngwladol (PHEIC)</a>.</p>"
Coronavirus first seen in China,2019-12-31T00:00:00Z,"<p>A number of cases of pneumonia were reported in Wuhan, China, which were later identified as a new strain of coronavirus which had not been seen in humans before: the novel coronavirus (referred to as COVID-19 from 11 February 2020).</p>",Gwelir y coronafeirws gyntaf yn Tsieina,2019-12-31T00:00:00Z,"<p>Adroddir nifer o achosion o niwmonia yn Wuhan, Tsieina; yn ddiweddarach, fe nodir eu bod yn straen newydd o’r coronafeirws nas gwelwyd mewn pobl o’r blaen: <a href=""https://www.who.int/emergencies/diseases/novel-coronavirus-2019"">y coronafeirws newydd</a> (y cyfeirir ato fel COVID-19 <a href=""https://www.who.int/dg/speeches/detail/who-director-general-s-remarks-at-the-media-briefing-on-2019-ncov-on-11-february-2020"">o 11 Chwefror</a>).</p>"
Face covering rules change,2022-02-28T00:00:00Z,"<p>The legal requirement to wear a face covering in many indoor public places <a href=""https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fgov.wales%2Fface-covering-legal-requirement-lifted-many-indoor-public-places&amp;data=04%7C01%7CSRPublishingInbox%40senedd.wales%7Cf979b88868b24167ff3a08d9fab4a130%7C38dc5129340c45148a044e8ef2771564%7C0%7C0%7C637816476592496291%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=7oYJkHEDkc6TsDGjthh4XnWAui6b2to%2FfSBJCM1uc3c%3D&amp;reserved=0"">ends today in Wales</a>. Face coverings will still be required in shops, on public transport, and in health and care settings.</p>",Newid i’r rheoliadau ynghylch gorchuddion wyneb,2022-02-28T00:00:00Z,"<p>Bydd y gofyniad cyfreithiol yng Nghymru i wisgo gorchuddion wyneb mewn llawer o fannau cyhoeddus dan do yn <a href=""https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fllyw.cymru%2Fcodir-gofyniad-cyfreithiol-i-wisgo-gorchudd-wyneb-mewn-nifer-o-fannau-cyhoeddus-o-dan-do&amp;data=04%7C01%7CSRPublishingInbox%40senedd.wales%7Cf979b88868b24167ff3a08d9fab4a130%7C38dc5129340c45148a044e8ef2771564%7C0%7C0%7C637816476592496291%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=i61ek52vkHlJa8JgpiOgV%2BRXpaWUZCDlLN6ZUPghjEs%3D&amp;reserved=0"">dod i ben heddiw</a>. Bydd yn parhau i fod yn ofynnol gwisgo gorchudd wyneb mewn siopau, ar drafnidiaeth gyhoeddus ac mewn lleoliadau iechyd a gofal.</p>"
Updated vaccination strategy,2022-02-24T00:00:00Z,"<p>The Welsh Government publishes its updated <a href=""https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fgov.wales%2Fcovid-19-vaccination-strategy-2022&amp;data=04%7C01%7CSRPublishingInbox%40senedd.wales%7Cf979b88868b24167ff3a08d9fab4a130%7C38dc5129340c45148a044e8ef2771564%7C0%7C0%7C637816476592496291%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=DmKTpb0di3SJKiHUDInYGA3mQQyyAZEmH4hUfsmDW8U%3D&amp;reserved=0"">COVID-19 vaccination strategy</a>.</p>",Strategaeth frechu wedi'i diweddaru,2022-02-24T00:00:00Z,"<p>Mae Llywodraeth Cymru yn cyhoeddi ei <a href=""https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fllyw.cymru%2Fstrategaeth-frechu-covid-19&amp;data=04%7C01%7CSRPublishingInbox%40senedd.wales%7Cf979b88868b24167ff3a08d9fab4a130%7C38dc5129340c45148a044e8ef2771564%7C0%7C0%7C637816476592496291%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=45IEryeiNguvKMzjMvLtYSMOrAsdQvQcvsfptmw54Jo%3D&amp;reserved=0""><strong>strategaeth frechu COVID-19 wedi’i diweddaru</strong></a>.</p>"
England’s plan for living with COVID-19,2022-02-21T00:00:00Z,"<p>The <a href=""https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.gov.uk%2Fgovernment%2Fnews%2Fprime-minister-sets-out-plan-for-living-with-covid&amp;data=04%7C01%7CSRPublishingInbox%40senedd.wales%7Cf979b88868b24167ff3a08d9fab4a130%7C38dc5129340c45148a044e8ef2771564%7C0%7C0%7C637816476592496291%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=h3Yvsgb8N559ZwHp4Yu%2B9aXB6kjhRrB6M8Okc20FtLg%3D&amp;reserved=0"">UK Government</a> publishes its <a href=""https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.gov.uk%2Fgovernment%2Fpublications%2Fcovid-19-response-living-with-covid-19&amp;data=04%7C01%7CSRPublishingInbox%40senedd.wales%7Cf979b88868b24167ff3a08d9fab4a130%7C38dc5129340c45148a044e8ef2771564%7C0%7C0%7C637816476592652529%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=zKKWVCGriRMEvNYEGr9j%2FH4FF%2FrBgpDtH6vYHkuy9%2FE%3D&amp;reserved=0"">plan for living with COVID-19</a>. All remaining domestic restrictions in England will be removed on 24 February 2022. The legal requirement to self-isolate and routine contact tracing ends. From the start of April, the UK Government will end free symptomatic and asymptomatic testing for the general public. “Vaccines will remain the first line of defence against Covid-19”.</p>",Cynllun Lloegr ar gyfer byw gyda COVID-19,2022-02-21T00:00:00Z,"<p>Mae <a href=""https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.gov.uk%2Fgovernment%2Fnews%2Fprime-minister-sets-out-plan-for-living-with-covid&amp;data=04%7C01%7CSRPublishingInbox%40senedd.wales%7Cf979b88868b24167ff3a08d9fab4a130%7C38dc5129340c45148a044e8ef2771564%7C0%7C0%7C637816476592652529%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=MD%2F%2FmUCdaNzWy1piyamqYIXtbVmfH%2BLsBsnbBC7cwOk%3D&amp;reserved=0""><strong>Llywodraeth y DU</strong></a> yn cyhoeddi ei <a href=""https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.gov.uk%2Fgovernment%2Fpublications%2Fcovid-19-response-living-with-covid-19&amp;data=04%7C01%7CSRPublishingInbox%40senedd.wales%7Cf979b88868b24167ff3a08d9fab4a130%7C38dc5129340c45148a044e8ef2771564%7C0%7C0%7C637816476592652529%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=zKKWVCGriRMEvNYEGr9j%2FH4FF%2FrBgpDtH6vYHkuy9%2FE%3D&amp;reserved=0""><strong>chynllun ar gyfer byw gyda COVID-19</strong></a>. Caiff pob un o’r cyfyngiadau domestig sy’n weddill yn Lloegr ei ddileu ar 24 Chwefror 2022. Mae’r gofyniad cyfreithiol i hunanynysu ac olrhain cysylltiadau arferol yn dod i ben. O ddechrau mis Ebrill, bydd Llywodraeth y DU yn dod â phrofion symptomatig ac asymptomatig am ddim i’r cyhoedd i ben. Brechlynnau fydd y llinell amddiffyn gyntaf yn erbyn Covid-19 o hyd.</p>"
